persona,user_allergy_ingredients,user_dislike_ingredients,user_spicy_level,user_cooking_level,user_owned_ingredients,user_basic_seasoning,must_use_ingredients
유미,[],[],3단계,중급,"['닭가슴살', '두부', '브로콜리']","['소금', '후추', '올리브유']",['닭가슴살']
철수,[],"['토마토', '오이']",2단계,초급,"['계란', '감자', '스팸']","['간장', '설탕', '후추']",['계란']
소희,[],['고수'],4단계,고급,"['버섯', '파스타면', '레몬']","['올리브유', '소금', '파프리카 가루']",['버섯']
민호,[],['치즈'],3단계,초급,"['양파', '라면', '김치']","['소금', '고춧가루', '간장']",['김치']
지영,"['우유', '견과류']","['청양고추', '불닭소스']",1단계,중급,"['애호박', '소고기', '쌀']","['간장', '다진 마늘', '참기름']",['소고기']
혜진,[],"['돈가스', '치킨 너겟', '감자튀김', '고로케', '새우튀김']",2단계,초급,"['닭가슴살', '단호박', '아보카도']","['후추', '올리브유', '발사믹 식초']",['닭가슴살']
준혁,[],['생선'],3단계,초급,"['계란', '밥', '햄']","['소금', '간장', '후추']",['계란']
에린,"['우유', '크림', '버터']","['소고기', '양고기']",4단계,중급,"['양파', '새우', '파스타면', '방울토마토', '바질']","['허브솔트', '올리브유', '레몬즙', '후추', '바질페스토']",['새우']
상철,[],"['청양고추', '고추장', '고춧가루', '불닭소스', '매운 카레']",1단계,초급,"['연어', '브로콜리', '현미']","['저염간장', '올리브유', '레몬즙']",['연어']
수빈,"['새우', '게', '견과류']","['닭고기', '브로콜리', '오이']",5단계,고급,"['연어', '아스파라거스', '파스타면']","['버터', '허브솔트', '파마산 치즈']",['아스파라거스']
