user_allergy_ingredients,user_dislike_ingredients,user_spicy_level,user_cooking_level,user_owned_ingredients,user_basic_seasoning,must_use_ingredients
['땅콩'],['양파'],3단계,초급,"['김치', '계란']","['소금', '후추']",['김치']
['새우'],['당근'],1단계,중급,"['두부', '애호박', '대파']","['된장', '고추장', '참기름']",['두부']
['달걀'],['닭가슴살'],2단계,고급,"['감자', '당근', '양파']","['간장', '설탕', '고춧가루']",['감자']
['우유'],['돼지고기'],2단계,초급,"['애호박', '양파', '계란']","['소금', '후추', '참기름']",['애호박']
['밀가루'],['대파'],3단계,중급,"['김치', '돼지고기', '양파']","['고추장', '마늘 (다진 마늘)']",['김치']
['갑각류'],['양파'],1단계,초급,"['애호박', '당근', '계란']","['소금', '간장']",['애호박']
['고등어'],['두부'],3단계,고급,"['김치', '돼지고기', '대파']","['고추장', '참기름', '마늘 (다진 마늘)']",['김치']
['호두'],['양파'],2단계,중급,"['감자', '당근', '계란']","['된장', '소금', '후추']",['감자']
['달걀'],['대파'],3단계,초급,"['김치', '애호박', '당근']","['소금', '고춧가루', '참기름']",['김치']
['참깨'],['돼지고기'],1단계,중급,"['두부', '양파', '계란']","['고추장', '간장', '마늘 (다진 마늘)']",['두부']
